post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"5824d7d90fa59","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d90facb","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d90fb2a","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d90fc94","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d90fd5d","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d90fdc3","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d90febf","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d90ff1e","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d90ff79","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d90ffd7","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d910032","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d91008f","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d910162","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d91026a","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
